,itemid,shopid,id,rateContent,rateDate,grab_time
0,109828679,0000000000,1.0,一直购买，不错方便,2017-06-11 09:33:06,2017-06-11 10:35:53
1,109828679,0000000000,2.0,不错了，很好啊，买了很多次了！,2017-06-11 08:27:11,2017-06-11 10:35:53
2,109828679,0000000000,3.0,请标注送货范围，别买了又说有些地方不送货！,2017-06-11 08:10:46,2017-06-11 10:35:53
3,109828679,0000000000,4.0,感觉挺好,2017-06-11 06:40:36,2017-06-11 10:35:53
4,109828679,0000000000,5.0,还好，送货上门，方便,2017-06-11 00:40:04,2017-06-11 10:35:53
5,109828679,0000000000,6.0,还行吧,2017-06-10 23:00:29,2017-06-11 10:35:53
6,109828679,0000000000,7.0,送货上楼是我选择苏宁的关键,2017-06-10 22:27:04,2017-06-11 10:35:53
7,109828679,0000000000,8.0,物流快，好评一个,2017-06-10 21:27:05,2017-06-11 10:35:53
8,109828679,0000000000,9.0,一直喝这个,2017-06-10 21:14:59,2017-06-11 10:35:53
9,109828679,0000000000,10.0,很好,2017-06-10 21:05:14,2017-06-11 10:35:53
10,109828679,0000000000,1.0,不错的,2017-05-25 16:21:24,2017-06-11 10:35:53
11,109828679,0000000000,2.0,还好吧,2017-05-22 19:58:15,2017-06-11 10:35:53
12,109828679,0000000000,3.0,比超市便宜,2017-05-18 23:43:27,2017-06-11 10:35:53
13,109828679,0000000000,4.0,贵了吧唧吧唧,2017-05-17 19:11:36,2017-06-11 10:35:53
14,109828679,0000000000,5.0,包装被挤压变形，比同买的特仑苏好些,2017-05-11 19:32:36,2017-06-11 10:35:53
15,109828679,0000000000,6.0,可以,2017-05-08 18:33:04,2017-06-11 10:35:53
16,109828679,0000000000,7.0,还有两个月过期,2017-05-06 13:56:02,2017-06-11 10:35:53
17,109828679,0000000000,8.0,还行,2017-05-06 06:33:45,2017-06-11 10:35:53
18,109828679,0000000000,9.0,比商场不打拆还贵,2017-05-04 20:46:47,2017-06-11 10:35:53
19,109828679,0000000000,10.0,奶是3月份的。看来这种东西还是别从网上买的好,2017-05-03 10:20:07,2017-06-11 10:35:53
20,109828679,0000000000,1.0,超市买32元，做活动才28元，一模一样的为何苏宁买这么贵？开始我还以为不一样，怪自己没看清，苏宁开始东西卖的很实惠，现在价格也太黑了吧！,2017-06-10 18:12:21,2017-06-11 10:35:53
21,109828679,0000000000,2.0,建议慎重买！苏宁超市的牛奶味道喝起来很怪！假不假不知道没空去检测！大家请看图！反正我是不会在苏宁买吃的了！,2017-06-05 11:12:37,2017-06-11 10:35:53
22,109828679,0000000000,3.0,这个是给姐姐家买的，奶是非常好的，不过买的第三方的书居然被骗了，居然给邮寄的是已经淘汰的版，儿子和同学的不一样，老师说是老版的，想追评居然不可以，只能在这说一说了，大骗子商家,2017-05-23 23:19:54,2017-06-11 10:35:53
23,109828679,0000000000,4.0,和前面几次买的不一样纸盒还有囗感,2017-05-17 11:36:36,2017-06-11 10:35:53
24,109828679,0000000000,5.0,不怎么，将就用,2017-05-10 23:46:49,2017-06-11 10:35:53
25,109828679,0000000000,6.0,一这么好,2017-05-06 20:32:16,2017-06-11 10:35:53
26,109828679,0000000000,7.0,不好，快过期了，下次不能买了,2017-04-28 15:54:10,2017-06-11 10:35:53
27,109828679,0000000000,8.0,牛奶日期不新鲜 是2016年12月产的,2017-04-28 09:55:04,2017-06-11 10:35:53
28,109828679,0000000000,9.0,日期去年的，苏宁也好意思拿出来卖，什么都没有提示，价格也没有便宜，问客服还是日期新鲜，无语。去年的也是新鲜，搞不懂你们真是睁眼说瞎话啊。,2017-04-27 16:36:39,2017-06-11 10:35:53
29,109828679,0000000000,10.0,临近过期，我也不想听官方的说辞。不想再有下一次。你的良心肯定不会痛。,2017-04-23 01:09:34,2017-06-11 10:35:53
30,109829169,0000000000,1.0,捶捶背，  。你重新吃醋v,2017-06-10 22:40:24,2017-06-11 10:36:04
31,109829169,0000000000,2.0,好好好好好好好好好好好,2017-06-10 21:51:15,2017-06-11 10:36:04
32,109829169,0000000000,3.0,物流很快，商品好，值得购买,2017-06-10 21:45:20,2017-06-11 10:36:04
33,109829169,0000000000,4.0,不错，很好的,2017-06-10 13:55:52,2017-06-11 10:36:04
34,109829169,0000000000,5.0,很好喝,2017-06-10 10:09:55,2017-06-11 10:36:04
35,109829169,0000000000,6.0,服务不错,2017-06-09 21:10:31,2017-06-11 10:36:04
36,109829169,0000000000,7.0,儿子的口粮奶，好评好评！！！！,2017-06-09 18:38:07,2017-06-11 10:36:04
37,109829169,0000000000,8.0,比超市优惠很多,2017-06-09 14:04:31,2017-06-11 10:36:04
38,109829169,0000000000,9.0,价格比超市便宜，物流也快，下次还会光顾,2017-06-09 13:44:18,2017-06-11 10:36:04
39,109829169,0000000000,10.0,送货快，挺好,2017-06-09 09:21:22,2017-06-11 10:36:04
40,109829169,0000000000,1.0,我就想知道和45快一箱的有什么区别,2017-04-30 19:35:43,2017-06-11 10:36:04
41,109829169,0000000000,2.0,一般,2017-04-20 22:48:46,2017-06-11 10:36:04
42,109829169,0000000000,3.0,2017年2月的，保质期六个月，可以喝完,2017-04-18 21:16:55,2017-06-11 10:36:04
43,109829169,0000000000,4.0,在苏宁上买了好几次牛奶了，这次活动力度不是特别大，比超市没便宜到多少，再看看生产日期也不是很满意，下次要注意些了。,2017-04-18 09:47:50,2017-06-11 10:36:04
44,109829169,0000000000,5.0,日期是11月份的，买贵了。,2017-03-14 14:57:03,2017-06-11 10:36:04
45,109829169,0000000000,6.0,做活动买的价钱便宜一点儿，只是出场日期有到儿长,2017-03-09 17:28:12,2017-06-11 10:36:04
46,109829169,0000000000,7.0,还不错吧,2017-03-06 22:21:27,2017-06-11 10:36:04
47,109829169,0000000000,8.0,还可以，日期是12月31日的，要是再新鲜点就好了，特别让人生气的是箱子坏了，本想退货的，反正不送礼了，只能够自己喝了，希望以后运输小心点，如果是哪个环节出现问题，得給客户一个说法或者赔偿,2017-02-28 10:06:54,2017-06-11 10:36:04
48,109829169,0000000000,9.0,味道不错,2017-02-23 16:42:50,2017-06-11 10:36:04
49,109829169,0000000000,10.0,不是新包装，不够喜庆！不过服务还是不错的！,2017-01-25 15:23:02,2017-06-11 10:36:04
50,109829169,0000000000,1.0,坑爹，某东才卖59，同样分的。苏宁卖这么贵。,2017-05-29 09:50:54,2017-06-11 10:36:04
