,itemid,impressions,grab_time
0,109828679,价格便宜:3877-发货很快:3484-性价比高 :3190-口感很好:2971-服务很好:2830-日期新鲜:2683-味道香而浓郁:2676-新鲜:1404-包装完好:322,2017-06-10 17:22:14
1,165053371,性价比高 :157-发货很快:155-口感很好:154-价格便宜:152-日期新鲜:147-服务很好:126-味道香而浓郁:125-新鲜:120-味道正:1,2017-06-10 17:22:23
2,109829169,价格便宜:687-发货很快:461-日期新鲜:409-性价比高 :388-服务很好:378-口感很好:373-新鲜:356-正品:320-送货快:308,2017-06-10 17:22:32
3,109829379,发货很快:289-口感很好:244-性价比高 :241-服务很好:224-价格便宜:223-味道香而浓郁:220-日期新鲜:217-新鲜:150-味浓香醇:3,2017-06-10 17:22:42
4,174748692,性价比高 :208-发货很快:205-价格便宜:189-口感很好:178-味道香而浓郁:165-服务很好:157-新鲜:141-日期新鲜:126,2017-06-10 17:22:51
5,109820550,价格便宜:3237-发货很快:1721-性价比高 :1608-服务很好:1508-口感很好:1429-日期新鲜:1426-包装完好:1363-送货快:1344-正品:1309,2017-06-10 17:23:00
6,109820526,价格便宜:471-发货很快:277-正品:253-包装完好:237-性价比高 :232-送货快:227-口感很好:208-服务很好:204-日期新鲜:199,2017-06-10 17:23:09
7,109820780,价格便宜:330-发货很快:324-口感很好:317-日期新鲜:317-性价比高 :311-味道香而浓郁:293-服务很好:259-新鲜:248-营养丰富:14,2017-06-10 17:23:18
8,109827025,价格便宜:1230-适合孩子:880-包装完好:696-正品:669-送货快:632-营养丰富:581-发货很快:505-性价比高 :497-口感很好:482,2017-06-10 17:23:28
9,109821559,价格便宜:559-发货很快:472-日期新鲜:438-性价比高 :433-口感很好:414-服务很好:392-味道香而浓郁:336-适合孩子:173-新鲜:161,2017-06-10 17:23:37
10,109827649,价格便宜:162-适合孩子:102-日期新鲜:91-性价比高 :90-口感很好:84-服务很好:79-发货很快:77-味道香而浓郁:74-包装完好:73,2017-06-10 17:23:46
11,109820555,价格便宜:250-发货很快:183-口感很好:159-日期新鲜:153-服务很好:139-味道香而浓郁:137-性价比高 :129-新鲜:108-包装完好:88,2017-06-10 17:23:56
12,109828106,价格便宜:162-适合孩子:95-性价比高 :94-包装完好:91-送货快:86-发货很快:79-服务很好:76-口感很好:74-营养丰富:71,2017-06-10 17:24:05
13,125578362,适合老人:185-价格便宜:143-送货快:130-包装完好:125-正品:101-营养丰富:100-味浓香醇:79-发货很快:43-服务很好:42,2017-06-10 17:24:14
14,187721261,日期新鲜:2-性价比高 :2-发货很快:1-口感很好:1-服务很好:1-价格便宜:1,2017-06-10 17:24:23
15,125578127,适合老人:179-价格便宜:155-包装完好:129-送货快:120-营养丰富:99-正品:95-味浓香醇:73-适合早餐:36-发货很快:32,2017-06-10 17:24:33
16,122677816,价格便宜:8-口感很好:7-味道香而浓郁:7-日期新鲜:6-发货很快:6-性价比高 :6-服务很好:3-新鲜:2,2017-06-10 17:24:42
17,122678208,口感很好:8-味道香而浓郁:7-价格便宜:6-日期新鲜:5-性价比高 :5-发货很快:3-新鲜:2-服务很好:2,2017-06-10 17:24:52
18,185099559,口感很好:26-日期新鲜:23-价格便宜:22-味道香而浓郁:22-性价比高 :20-发货很快:16-新鲜:12-服务很好:12,2017-06-10 17:25:01
19,151820165,价格便宜:65-味道香而浓郁:64-性价比高 :62-口感很好:53-新鲜:47-发货很快:45-日期新鲜:41-服务很好:37,2017-06-10 17:25:10
20,613814263,,2017-06-10 17:25:19
21,109820550,,2017-06-10 17:25:28
22,627365298,,2017-06-10 17:25:38
23,627365297,,2017-06-10 17:25:47
24,945006188,,2017-06-10 17:25:56
25,945006187,,2017-06-10 17:26:06
26,945006189,,2017-06-10 17:26:15
27,945005701,,2017-06-10 17:26:24
28,945005703,,2017-06-10 17:26:35
29,945006184,,2017-06-10 17:26:46
30,945006185,,2017-06-10 17:26:55
31,945005702,,2017-06-10 17:27:06
32,945006186,,2017-06-10 17:27:16
33,109828104,价格便宜:237-适合孩子:199-正品:151-包装完好:147-送货快:146-营养丰富:136-发货很快:107-味浓香醇:105-口感很好:94,2017-06-10 17:27:25
34,109827054,价格便宜:194-发货很快:147-口感很好:138-日期新鲜:126-服务很好:121-味道香而浓郁:121-适合孩子:118-性价比高 :111-包装完好:103,2017-06-10 17:27:35
35,173149683,服务很好:1-性价比高 :1,2017-06-10 17:27:44
36,170164091,服务很好:3-发货很快:3-价格便宜:2-日期新鲜:2-性价比高 :2-口感很好:1,2017-06-10 17:27:53
37,945012810,,2017-06-10 17:28:03
38,945006182,,2017-06-10 17:28:13
39,945006700,,2017-06-10 17:28:22
40,945006699,,2017-06-10 17:28:33
41,945006697,,2017-06-10 17:28:42
42,945006698,,2017-06-10 17:28:51
43,945006183,,2017-06-10 17:29:02
