,itemid,shopid,shopTitle,shop_url,shop_describe,shop_serve,shop_shiping,grab_time
0,109828679,0000000000, 伊利官方旗舰店 ,http://shop.suning.com/0/index.html,,,,2017-06-10 17:22:14
1,165053371,0000000000, 伊利官方旗舰店 ,http://shop.suning.com/0/index.html,,,,2017-06-10 17:22:23
2,109829169,0000000000, 伊利官方旗舰店 ,http://shop.suning.com/0/index.html,,,,2017-06-10 17:22:32
3,109829379,0000000000, 伊利官方旗舰店 ,http://shop.suning.com/0/index.html,,,,2017-06-10 17:22:42
4,174748692,0000000000, 伊利官方旗舰店 ,http://shop.suning.com/0/index.html,,,,2017-06-10 17:22:51
5,109820550,0000000000, 伊利官方旗舰店 ,http://shop.suning.com/0/index.html,,,,2017-06-10 17:23:00
6,109820526,0000000000, 伊利官方旗舰店 ,http://shop.suning.com/0/index.html,,,,2017-06-10 17:23:09
7,109820780,0000000000, 伊利官方旗舰店 ,http://shop.suning.com/0/index.html,,,,2017-06-10 17:23:18
8,109827025,0000000000, 伊利官方旗舰店 ,http://shop.suning.com/0/index.html,,,,2017-06-10 17:23:28
9,109821559,0000000000, 伊利官方旗舰店 ,http://shop.suning.com/0/index.html,,,,2017-06-10 17:23:37
10,109827649,0000000000, 伊利官方旗舰店 ,http://shop.suning.com/0/index.html,,,,2017-06-10 17:23:46
11,109820555,0000000000, 伊利官方旗舰店 ,http://shop.suning.com/0/index.html,,,,2017-06-10 17:23:56
12,109828106,0000000000, 伊利官方旗舰店 ,http://shop.suning.com/0/index.html,,,,2017-06-10 17:24:05
13,125578362,0000000000, 伊利官方旗舰店 ,http://shop.suning.com/0/index.html,,,,2017-06-10 17:24:14
14,187721261,0000000000, 伊利官方旗舰店 ,http://shop.suning.com/0/index.html,,,,2017-06-10 17:24:23
15,125578127,0000000000, 伊利官方旗舰店 ,http://shop.suning.com/0/index.html,,,,2017-06-10 17:24:33
16,122677816,0070078374,中粮我买网官方旗舰店,http://shop.suning.com/70078374/index.html,4.9,4.91,4.89,2017-06-10 17:24:42
17,122678208,0070078374,中粮我买网官方旗舰店,http://shop.suning.com/70078374/index.html,4.9,4.91,4.89,2017-06-10 17:24:52
18,185099559,0070078374,中粮我买网官方旗舰店,http://shop.suning.com/70078374/index.html,4.9,4.91,4.89,2017-06-10 17:25:01
19,151820165,0070078374,中粮我买网官方旗舰店,http://shop.suning.com/70078374/index.html,4.9,4.91,4.89,2017-06-10 17:25:10
20,613814263,0070078374,中粮我买网官方旗舰店,http://shop.suning.com/70078374/index.html,4.9,4.91,4.89,2017-06-10 17:25:19
21,109820550,0070134989,兰锐贸易食品专营店,http://shop.suning.com/70134989/index.html,4.88,4.89,4.86,2017-06-10 17:25:28
22,627365298,0070134989,兰锐贸易食品专营店,http://shop.suning.com/70134989/index.html,4.88,4.89,4.86,2017-06-10 17:25:38
