,itemid,impressions,grab_time
0,126439269,价格便宜:2418-口感很好:2298-味道香而浓郁:2144-日期新鲜:2066-性价比高 :2033-发货很快:1807-服务很好:1746-新鲜:1517-适合早餐:118,2017-06-10 17:33:12
1,109830325,价格便宜:4570-口感很好:3764-发货很快:3723-性价比高 :3691-味道香而浓郁:3540-日期新鲜:3515-服务很好:3175-新鲜:2403-适合早餐:371,2017-06-10 17:33:21
2,613814261,,2017-06-10 17:33:30
3,945006189,,2017-06-10 17:33:39
4,945006187,,2017-06-10 17:33:48
5,945006188,,2017-06-10 17:33:57
6,109830111,价格便宜:4625-口感很好:3977-发货很快:3861-性价比高 :3823-味道香而浓郁:3626-日期新鲜:3592-服务很好:3283-新鲜:2417-包装完好:332,2017-06-10 17:34:07
7,602974691,,2017-06-10 17:34:16
8,945006698,,2017-06-10 17:34:25
9,945006697,,2017-06-10 17:34:34
