,itemid,shopid,goods_title,goods_price,goods_judge_num,bestJudgeNum,midJudgeNum,worstJudgeNum,goods_addr,goods_url,grab_time
0,174748692,0000000000,【苏宁易购超市】伊利 纯牛奶 250ml*16盒 礼盒装 伊利纯牛奶【价格 图片 品牌 报价】-苏宁易购伊利官方旗舰店,59.90,2575.0,2524.0,23.0,28.0,1,http://product.suning.com/0000000000/174748692.html,2017-06-10 17:07:50
1,109820526,0000000000,【苏宁易购超市】伊利 金典 有机纯牛奶 250ml*12盒 礼盒装 伊利纯牛奶【价格 图片 品牌 报价】-苏宁易购伊利官方旗舰店,53.20,4748.0,4591.0,85.0,72.0,1,http://product.suning.com/0000000000/109820526.html,2017-06-10 17:07:59
2,109820550,0000000000,【苏宁易购超市】伊利 金典纯牛奶 250ml*12盒 礼盒装 伊利纯牛奶【价格 图片 品牌 报价】-苏宁易购伊利官方旗舰店,55.00,20922.0,19936.0,517.0,469.0,1,http://product.suning.com/0000000000/109820550.html,2017-06-10 17:08:08
3,109820555,0000000000,【苏宁易购超市】伊利 金典 低脂纯牛奶 250ml*12盒 礼盒装 伊利纯牛奶【价格 图片 品牌 报价】-苏宁易购伊利官方旗舰店,51.00,2381.0,2312.0,36.0,33.0,1,http://product.suning.com/0000000000/109820555.html,2017-06-10 17:08:17
4,109820550,0070134989,【牛奶小镇】伊利 金典纯牛奶 250ml*12盒 4月生产 伊利纯牛奶【价格 图片 品牌 报价】-苏宁易购伊利官方旗舰店,59.80,756.0,731.0,15.0,10.0,1,http://product.suning.com/0070134989/109820550.html,2017-06-10 17:08:27
5,122678208,0070078374,【伊利】金典有机牛奶250ml*12(箱) 伊利纯牛奶【价格 图片 品牌 报价】-苏宁易购伊利官方旗舰店,68.90,70.0,69.0,1.0,0.0,1,http://product.suning.com/0070078374/122678208.html,2017-06-10 17:08:36
6,122677816,0070078374,【伊利】金典奶250ml*12（箱） 伊利纯牛奶【价格 图片 品牌 报价】-苏宁易购伊利官方旗舰店,65.00,64.0,62.0,0.0,2.0,1,http://product.suning.com/0070078374/122677816.html,2017-06-10 17:08:45
7,945006184,0000000000,买伊利金典送手提袋 纯牛奶【价格 图片 品牌 报价】-苏宁易购苏宁自营,,0.0,0.0,0.0,0.0,1,http://product.suning.com/0000000000/945006184.html,2017-06-10 17:08:54
8,945006186,0000000000,买金典有机送单提礼袋 纯牛奶【价格 图片 品牌 报价】-苏宁易购苏宁自营,,0.0,0.0,0.0,0.0,1,http://product.suning.com/0000000000/945006186.html,2017-06-10 17:09:03
9,945006185,0000000000,买金典低脂送单提礼袋 纯牛奶【价格 图片 品牌 报价】-苏宁易购苏宁自营,,0.0,0.0,0.0,0.0,1,http://product.suning.com/0000000000/945006185.html,2017-06-10 17:09:14
