,itemid,impressions,grab_time
0,174748692,性价比高 :208-发货很快:205-价格便宜:189-口感很好:178-味道香而浓郁:165-服务很好:157-新鲜:141-日期新鲜:126,2017-06-10 17:07:50
1,109820526,价格便宜:471-发货很快:277-正品:253-包装完好:237-性价比高 :232-送货快:227-口感很好:208-服务很好:204-日期新鲜:199,2017-06-10 17:07:59
2,109820550,价格便宜:3237-发货很快:1721-性价比高 :1608-服务很好:1508-口感很好:1429-日期新鲜:1426-包装完好:1363-送货快:1344-正品:1309,2017-06-10 17:08:08
3,109820555,价格便宜:250-发货很快:183-口感很好:159-日期新鲜:153-服务很好:139-味道香而浓郁:137-性价比高 :129-新鲜:108-包装完好:88,2017-06-10 17:08:17
4,109820550,,2017-06-10 17:08:27
5,122678208,口感很好:8-味道香而浓郁:7-价格便宜:6-日期新鲜:5-性价比高 :5-发货很快:3-新鲜:2-服务很好:2,2017-06-10 17:08:36
6,122677816,价格便宜:8-口感很好:7-味道香而浓郁:7-日期新鲜:6-发货很快:6-性价比高 :6-服务很好:3-新鲜:2,2017-06-10 17:08:45
7,945006184,,2017-06-10 17:08:54
8,945006186,,2017-06-10 17:09:03
9,945006185,,2017-06-10 17:09:14
