,itemid,shopid,shopTitle,shop_url,shop_describe,shop_serve,shop_shiping,grab_time
0,174748692,0000000000, 伊利官方旗舰店 ,http://shop.suning.com/0/index.html,,,,2017-06-10 17:07:50
1,109820526,0000000000, 伊利官方旗舰店 ,http://shop.suning.com/0/index.html,,,,2017-06-10 17:07:59
2,109820550,0000000000, 伊利官方旗舰店 ,http://shop.suning.com/0/index.html,,,,2017-06-10 17:08:08
3,109820555,0000000000, 伊利官方旗舰店 ,http://shop.suning.com/0/index.html,,,,2017-06-10 17:08:17
4,109820550,0070134989,兰锐贸易食品专营店,http://shop.suning.com/70134989/index.html,4.88,4.89,4.86,2017-06-10 17:08:27
5,122678208,0070078374,中粮我买网官方旗舰店,http://shop.suning.com/70078374/index.html,4.9,4.91,4.89,2017-06-10 17:08:36
6,122677816,0070078374,中粮我买网官方旗舰店,http://shop.suning.com/70078374/index.html,4.9,4.91,4.89,2017-06-10 17:08:45
7,945006184,0000000000,中粮我买网官方旗舰店,http://shop.suning.com/0/index.html,4.9,4.91,4.89,2017-06-10 17:08:54
8,945006186,0000000000,中粮我买网官方旗舰店,http://shop.suning.com/0/index.html,4.9,4.91,4.89,2017-06-10 17:09:03
9,945006185,0000000000,中粮我买网官方旗舰店,http://shop.suning.com/0/index.html,4.9,4.91,4.89,2017-06-10 17:09:14
