,itemid,impressions,grab_time
0,151889426,价格便宜:8589-性价比高 :7957-日期新鲜:7759-发货很快:7689-口感很好:6877-服务很好:6401-新鲜:6103-味道香而浓郁:5807-不接电话:1,2017-06-10 17:56:08
1,104618680,价格便宜:5839-性价比高 :5445-日期新鲜:5039-口感很好:4820-发货很快:4483-味道香而浓郁:4201-服务很好:4151-新鲜:3210-正品:188,2017-06-10 17:56:19
2,127317575,价格便宜:5592-性价比高 :5010-发货很快:5000-口感很好:4624-日期新鲜:4384-服务很好:4220-味道香而浓郁:4101-新鲜:3410-包装完好:49,2017-06-10 17:56:30
3,104618699,价格便宜:166-正品:153-送货快:153-味浓香醇:144-包装完好:139-营养丰富:124-适合老人:62-适合早餐:60-适合孩子:47,2017-06-10 17:56:41
4,137702533,发货很快:1457-价格便宜:1389-性价比高 :1359-服务很好:1204-口感很好:1191-日期新鲜:1188-味道香而浓郁:1122-新鲜:283-伤心:1,2017-06-10 17:56:52
5,154722868,发货很快:525-价格便宜:467-口感很好:457-性价比高 :451-服务很好:406-味道香而浓郁:404-日期新鲜:370-新鲜:300-不新鲜:1,2017-06-10 17:57:03
6,103995011,价格便宜:733-发货很快:718-性价比高 :699-口感很好:591-味道香而浓郁:589-日期新鲜:556-服务很好:549-新鲜:323-无耻:2,2017-06-10 17:57:14
7,139593532,口感很好:18-发货很快:16-日期新鲜:11-性价比高 :10-价格便宜:9-味道香而浓郁:8-新鲜:7-服务很好:6,2017-06-10 17:57:25
8,129725013,发货很快:1393-性价比高 :1331-价格便宜:1319-口感很好:1278-味道香而浓郁:1212-服务很好:1108-日期新鲜:1054-新鲜:804-价格有点贵:1,2017-06-10 17:57:36
9,614175096,,2017-06-10 17:57:47
10,153368847,口感很好:364-价格便宜:338-性价比高 :330-发货很快:320-味道香而浓郁:289-新鲜:274-服务很好:271-日期新鲜:252,2017-06-10 17:57:59
11,153368846,口感很好:362-发货很快:320-性价比高 :315-价格便宜:310-日期新鲜:261-服务很好:255-味道香而浓郁:252-新鲜:209,2017-06-10 17:58:10
12,153944953,价格便宜:277-日期新鲜:246-性价比高 :239-发货很快:221-口感很好:218-新鲜:184-服务很好:176-味道香而浓郁:151,2017-06-10 17:58:21
13,103995019,,2017-06-10 17:58:32
14,606292593,,2017-06-10 17:58:43
15,142899345,日期新鲜:58-性价比高 :56-价格便宜:54-发货很快:50-口感很好:50-味道香而浓郁:48-服务很好:40-新鲜:39-日期不新鲜:1,2017-06-10 17:58:54
16,614094593,,2017-06-10 17:59:05
17,121554503,价格便宜:87-口感很好:69-性价比高 :69-发货很快:68-日期新鲜:56-味道香而浓郁:55-新鲜:49-服务很好:46-正品:4,2017-06-10 17:59:15
18,129035533,口感很好:30-发货很快:27-味道香而浓郁:22-价格便宜:21-日期新鲜:16-性价比高 :16-服务很好:15-味浓香醇:9-新鲜:8,2017-06-10 17:59:26
19,602644745,,2017-06-10 17:59:37
20,121729152,口感很好:2-日期新鲜:2-味道香而浓郁:2-性价比高 :2-新鲜:1-发货很快:1,2017-06-10 17:59:48
21,184477205,新鲜:1,2017-06-10 17:59:59
22,126787521,发货很快:7-日期新鲜:6-服务很好:5-味道香而浓郁:5-口感很好:4-性价比高 :4-新鲜:3-价格便宜:2-包装完好:1,2017-06-10 18:00:10
23,121729783,,2017-06-10 18:00:21
24,104618680,,2017-06-10 18:00:32
25,945012785,,2017-06-10 18:00:43
26,945006776,,2017-06-10 18:00:54
27,945012507,,2017-06-10 18:01:05
28,945006873,,2017-06-10 18:01:16
29,614094594,,2017-06-10 18:01:27
30,155514730,,2017-06-10 18:01:38
31,945002560,,2017-06-10 18:01:49
32,103995019,价格便宜:4049-正品:2091-包装完好:2059-送货快:2044-发货很快:1769-味浓香醇:1712-营养丰富:1702-性价比高 :1594-口感很好:1506,2017-06-10 18:02:00
33,104618676,价格便宜:178-正品:122-营养丰富:120-送货快:117-包装完好:110-味浓香醇:89-发货很快:87-口感很好:75-味道香而浓郁:65,2017-06-10 18:02:11
34,103995021,发货很快:424-口感很好:417-价格便宜:410-性价比高 :379-服务很好:347-味道香而浓郁:342-日期新鲜:320-新鲜:238-包装完好:47,2017-06-10 18:02:22
