,itemid,shopid,shopTitle,shop_url,shop_describe,shop_serve,shop_shiping,grab_time
0,151889426,0000000000, 蒙牛官方旗舰店 ,http://shop.suning.com/0/index.html,,,,2017-06-10 17:56:08
1,104618680,0000000000, 蒙牛官方旗舰店 ,http://shop.suning.com/0/index.html,,,,2017-06-10 17:56:19
2,127317575,0000000000, 蒙牛官方旗舰店 ,http://shop.suning.com/0/index.html,,,,2017-06-10 17:56:30
3,104618699,0000000000, 蒙牛官方旗舰店 ,http://shop.suning.com/0/index.html,,,,2017-06-10 17:56:41
4,137702533,0000000000, 蒙牛官方旗舰店 ,http://shop.suning.com/0/index.html,,,,2017-06-10 17:56:52
5,154722868,0000000000, 蒙牛官方旗舰店 ,http://shop.suning.com/0/index.html,,,,2017-06-10 17:57:03
6,103995011,0000000000, 蒙牛官方旗舰店 ,http://shop.suning.com/0/index.html,,,,2017-06-10 17:57:14
7,139593532,0000000000, 蒙牛官方旗舰店 ,http://shop.suning.com/0/index.html,,,,2017-06-10 17:57:25
8,129725013,0000000000, 蒙牛官方旗舰店 ,http://shop.suning.com/0/index.html,,,,2017-06-10 17:57:36
9,614175096,0070078374,中粮我买网官方旗舰店,http://shop.suning.com/70078374/index.html,4.9,4.91,4.89,2017-06-10 17:57:47
10,153368847,0000000000, 蒙牛官方旗舰店 ,http://shop.suning.com/0/index.html,4.9,4.91,4.89,2017-06-10 17:57:59
11,153368846,0000000000, 蒙牛官方旗舰店 ,http://shop.suning.com/0/index.html,4.9,4.91,4.89,2017-06-10 17:58:10
12,153944953,0070078374,中粮我买网官方旗舰店,http://shop.suning.com/70078374/index.html,4.9,4.91,4.89,2017-06-10 17:58:21
13,103995019,0070134989,兰锐贸易食品专营店,http://shop.suning.com/70134989/index.html,4.88,4.89,4.86,2017-06-10 17:58:32
14,606292593,0000000000, 蒙牛官方旗舰店 ,http://shop.suning.com/0/index.html,4.88,4.89,4.86,2017-06-10 17:58:43
15,142899345,0070078374,中粮我买网官方旗舰店,http://shop.suning.com/70078374/index.html,4.9,4.91,4.89,2017-06-10 17:58:54
16,614094593,0070078374,中粮我买网官方旗舰店,http://shop.suning.com/70078374/index.html,4.9,4.91,4.89,2017-06-10 17:59:05
17,121554503,0070078374,中粮我买网官方旗舰店,http://shop.suning.com/70078374/index.html,4.9,4.91,4.89,2017-06-10 17:59:15
18,129035533,0070078374,中粮我买网官方旗舰店,http://shop.suning.com/70078374/index.html,4.9,4.91,4.89,2017-06-10 17:59:26
19,602644745,0070078374,中粮我买网官方旗舰店,http://shop.suning.com/70078374/index.html,4.9,4.91,4.89,2017-06-10 17:59:37
20,121729152,0070078374,中粮我买网官方旗舰店,http://shop.suning.com/70078374/index.html,4.9,4.91,4.89,2017-06-10 17:59:48
21,184477205,0070078374,中粮我买网官方旗舰店,http://shop.suning.com/70078374/index.html,4.9,4.91,4.89,2017-06-10 17:59:59
22,126787521,0070078374,中粮我买网官方旗舰店,http://shop.suning.com/70078374/index.html,4.9,4.91,4.89,2017-06-10 18:00:10
23,121729783,0070078374,中粮我买网官方旗舰店,http://shop.suning.com/70078374/index.html,4.9,4.91,4.89,2017-06-10 18:00:21
24,104618680,0070078374,中粮我买网官方旗舰店,http://shop.suning.com/70078374/index.html,4.9,4.91,4.89,2017-06-10 18:00:32
25,945012785,0000000000,中粮我买网官方旗舰店,http://shop.suning.com/0/index.html,4.9,4.91,4.89,2017-06-10 18:00:43
26,945006776,0000000000,中粮我买网官方旗舰店,http://shop.suning.com/0/index.html,4.9,4.91,4.89,2017-06-10 18:00:54
27,945012507,0000000000,中粮我买网官方旗舰店,http://shop.suning.com/0/index.html,4.9,4.91,4.89,2017-06-10 18:01:05
28,945006873,0000000000,中粮我买网官方旗舰店,http://shop.suning.com/0/index.html,4.9,4.91,4.89,2017-06-10 18:01:16
29,614094594,0070078374,中粮我买网官方旗舰店,http://shop.suning.com/70078374/index.html,4.9,4.91,4.89,2017-06-10 18:01:27
30,155514730,0070078374,中粮我买网官方旗舰店,http://shop.suning.com/70078374/index.html,4.9,4.91,4.89,2017-06-10 18:01:38
31,945002560,0000000000,中粮我买网官方旗舰店,http://shop.suning.com/0/index.html,4.9,4.91,4.89,2017-06-10 18:01:49
32,103995019,0000000000, 蒙牛官方旗舰店 ,http://shop.suning.com/0/index.html,4.9,4.91,4.89,2017-06-10 18:02:00
33,104618676,0000000000, 蒙牛官方旗舰店 ,http://shop.suning.com/0/index.html,4.9,4.91,4.89,2017-06-10 18:02:11
34,103995021,0000000000, 蒙牛官方旗舰店 ,http://shop.suning.com/0/index.html,4.9,4.91,4.89,2017-06-10 18:02:22
