,itemid,shopid,shopTitle,shop_url,shop_describe,shop_serve,shop_shiping,grab_time
0,137192474,0000000000, 蒙牛官方旗舰店 ,http://shop.suning.com/0/index.html,,,,2017-06-10 17:53:46
1,104618685,0000000000, 蒙牛官方旗舰店 ,http://shop.suning.com/0/index.html,,,,2017-06-10 17:53:55
2,131207169,0000000000, 蒙牛官方旗舰店 ,http://shop.suning.com/0/index.html,,,,2017-06-10 17:54:04
3,611485596,0070134989,兰锐贸易食品专营店,http://shop.suning.com/70134989/index.html,4.88,4.89,4.86,2017-06-10 17:54:13
4,606673099,0000000000, 蒙牛官方旗舰店 ,http://shop.suning.com/0/index.html,4.88,4.89,4.86,2017-06-10 17:54:22
5,137192474,0070078374,中粮我买网官方旗舰店,http://shop.suning.com/70078374/index.html,4.9,4.91,4.89,2017-06-10 17:54:32
6,104618685,0070134989,兰锐贸易食品专营店,http://shop.suning.com/70134989/index.html,4.88,4.89,4.86,2017-06-10 17:54:41
7,153868367,0070078374,中粮我买网官方旗舰店,http://shop.suning.com/70078374/index.html,4.9,4.91,4.89,2017-06-10 17:54:50
8,945002194,0000000000,中粮我买网官方旗舰店,http://shop.suning.com/0/index.html,4.9,4.91,4.89,2017-06-10 17:54:59
9,945012862,0000000000,中粮我买网官方旗舰店,http://shop.suning.com/0/index.html,4.9,4.91,4.89,2017-06-10 17:55:08
10,945012507,0000000000,中粮我买网官方旗舰店,http://shop.suning.com/0/index.html,4.9,4.91,4.89,2017-06-10 17:55:20
11,129035533,0070078374,中粮我买网官方旗舰店,http://shop.suning.com/70078374/index.html,4.9,4.91,4.89,2017-06-10 17:55:30
