,itemid,impressions,grab_time
0,646382345,,2017-08-07 18:59:49
1,643304429,,2017-08-07 19:00:00
2,625129444,,2017-08-07 19:00:11
3,625129444,,2017-08-07 19:00:21
4,625129444,,2017-08-07 19:00:32
5,172252136,,2017-08-07 19:00:42
6,172252136,,2017-08-07 19:00:53
7,172252136,,2017-08-07 19:01:05
8,172252136,,2017-08-07 19:01:16
9,649479768,,2017-08-07 19:01:26
10,649479768,,2017-08-07 19:01:37
11,604677012,,2017-08-07 19:01:47
12,604677012,,2017-08-07 19:01:57
13,604677012,,2017-08-07 19:02:08
14,604677012,,2017-08-07 19:02:19
15,604677012,,2017-08-07 19:02:29
16,604677012,,2017-08-07 19:02:39
