,itemid,shopid,shopTitle,shop_url,shop_describe,shop_serve,shop_shiping,grab_time
0,646382345,0070167435,,http://shop.suning.com/70167435/consoleIndex.html,4.93,4.93,4.93,2017-08-07 18:59:49
1,643304429,0070091876,,http://shop.suning.com/70091876/consoleIndex.html,4.95,4.94,4.9,2017-08-07 19:00:00
2,625129444,0070147074,,http://shop.suning.com/70147074/consoleIndex.html,4.76,4.67,4.62,2017-08-07 19:00:11
3,625129444,0070167435,,http://shop.suning.com/70167435/consoleIndex.html,4.93,4.93,4.93,2017-08-07 19:00:21
4,625129444,0070096274,,http://shop.suning.com/70096274/consoleIndex.html,4.86,4.88,4.85,2017-08-07 19:00:32
5,172252136,0070092316,,http://shop.suning.com/70092316/consoleIndex.html,4.45,4.31,4.17,2017-08-07 19:00:42
6,172252136,0070096274,,http://shop.suning.com/70096274/consoleIndex.html,4.86,4.88,4.85,2017-08-07 19:00:53
7,172252136,0070151041,,http://shop.suning.com/70151041/consoleIndex.html,4.71,4.73,4.7,2017-08-07 19:01:05
8,172252136,0070153176,,http://shop.suning.com/70153176/consoleIndex.html,4.74,4.68,4.65,2017-08-07 19:01:16
9,649479768,0070091876,,http://shop.suning.com/70091876/consoleIndex.html,4.95,4.94,4.9,2017-08-07 19:01:26
10,649479768,0070147074,,http://shop.suning.com/70147074/consoleIndex.html,4.76,4.67,4.62,2017-08-07 19:01:37
11,604677012,0070072826,,http://shop.suning.com/70072826/consoleIndex.html,4.6,4.67,4.73,2017-08-07 19:01:47
12,604677012,0070083569,,http://shop.suning.com/70083569/consoleIndex.html,4.68,4.71,4.71,2017-08-07 19:01:57
13,604677012,0070092316,,http://shop.suning.com/70092316/consoleIndex.html,4.45,4.31,4.17,2017-08-07 19:02:08
14,604677012,0070096274,,http://shop.suning.com/70096274/consoleIndex.html,4.86,4.88,4.85,2017-08-07 19:02:19
15,604677012,0070147074,,http://shop.suning.com/70147074/consoleIndex.html,4.76,4.67,4.62,2017-08-07 19:02:29
16,604677012,0070153176,,http://shop.suning.com/70153176/consoleIndex.html,4.74,4.68,4.65,2017-08-07 19:02:39
