,itemid,shopid,id,rateContent,rateDate,grab_time
0,136229332,0000000000,1.0,不错，超市都是五六十的价格，才三十多，赞！,2017-06-10 17:10:37,2017-06-10 17:37:48
1,136229332,0000000000,2.0,味道不错，巧克力牛奶最爱，不甜，巧克力味道纯正。,2017-06-10 17:05:12,2017-06-10 17:37:48
2,136229332,0000000000,3.0,快递员好评好评,2017-06-10 16:43:50,2017-06-10 17:37:48
3,136229332,0000000000,4.0,好,2017-06-10 16:40:49,2017-06-10 17:37:48
4,136229332,0000000000,5.0,不错，挺好的,2017-06-10 16:27:20,2017-06-10 17:37:48
5,136229332,0000000000,6.0,非常好!!!,2017-06-10 15:19:02,2017-06-10 17:37:48
6,136229332,0000000000,7.0,挺好的！日期新鲜，苏宁易购就是好，现在家里用的都是这里买了，价格优惠，快递送货也快,2017-06-10 15:06:37,2017-06-10 17:37:48
7,136229332,0000000000,8.0,经济实惠好喝,2017-06-10 14:42:59,2017-06-10 17:37:48
8,136229332,0000000000,9.0,好,2017-06-10 14:00:50,2017-06-10 17:37:48
9,136229332,0000000000,10.0,寫文字煩不煩寫文字煩不煩,2017-06-10 10:09:14,2017-06-10 17:37:48
10,136229332,0000000000,1.0,原本以为买了个便宜，收到货是临期产品，还有一个月就到期了。还一次买了两件。郁闷。,2017-05-27 08:58:13,2017-06-10 17:37:48
11,136229332,0000000000,2.0,买了两箱奶，其中有一箱是临期的~2016.12月生产的，6个月的保质期。。现在已是2017.5月。。。,2017-05-22 08:30:16,2017-06-10 17:37:48
12,136229332,0000000000,3.0,速度快，但还有一个多月就过期了，怪不得这么便宜,2017-05-12 12:50:43,2017-06-10 17:37:48
13,136229332,0000000000,4.0,.日期太近了,2017-05-09 14:46:02,2017-06-10 17:37:48
14,136229332,0000000000,5.0,商品挺好的，但是日期不怎么好，还有一个多月就到期。,2017-05-07 14:53:43,2017-06-10 17:37:48
15,136229332,0000000000,6.0,日期竟然是16年12月的，都快过期了,2017-05-05 14:35:10,2017-06-10 17:37:48
16,136229332,0000000000,7.0,太坑爹，快到期了，大家不要买,2017-05-02 17:11:25,2017-06-10 17:37:48
17,136229332,0000000000,8.0,口味不错，就是快到保质期了,2017-04-27 17:20:06,2017-06-10 17:37:48
18,136229332,0000000000,9.0,在苏宁易购买了2箱牛奶，平时的日期都很新鲜，这次发过来的伊利味道可滋味巧克力的牛奶日期不是很满意还有20天就要过期楼了，而且平时快递小哥都可以帮我送到7楼的，今天就放在一楼的储存柜，我一个带孩子的娃，不容易啊0,2017-04-27 14:55:47,2017-06-10 17:37:48
19,136229332,0000000000,10.0,苏宁真的很坑，牛奶的生产日期是2016年12月20日，他们也不说明，现在剩下不到两个月的保质,2017-04-26 20:36:25,2017-06-10 17:37:48
20,136229332,0000000000,1.0,这是最不满意的一次，生产期是3月份的，保质期6个月，还差十天就过期了，而且我还买了两箱，这真的是让人无语啊，怪不得便宜那么多，果然是便宜没好货…好失望,2017-06-09 13:54:08,2017-06-10 17:37:48
21,136229332,0000000000,2.0,超级***。我买的时候问他保质期多久？他说查不到，没批量进的货都不一样。保证在保质期。我收到货一看，5月20号过期。我是5月3号晚上收到了。换句话说这个奶，只有十七天的保质期。你们说过分不过分？还大聚惠。简直就是昧着良心。所以，差评，差评，绝对差评。,2017-05-05 13:33:15,2017-06-10 17:37:48
22,136229332,0000000000,3.0,糟糕的网购快过期的奶还拿出来销售,2017-04-22 14:21:26,2017-06-10 17:37:48
23,136229332,0000000000,4.0,口感好！值得信赖的品牌,2017-04-03 10:08:22,2017-06-10 17:37:48
24,136229332,0000000000,5.0,明明是60块2箱，却只给我发了一半！找客服没人回，也怪自己一直没开箱核实数量，以后不会再来，***发货比它快，还不出错，找客服也他***有人回应！,2017-01-30 10:36:06,2017-06-10 17:37:48
25,136229332,0000000000,6.0,价格实惠，味美，宝贝非常喜欢！,2017-01-22 19:56:07,2017-06-10 17:37:48
26,136229332,0000000000,7.0,发货太慢了……,2017-01-22 12:45:09,2017-06-10 17:37:48
27,136229332,0000000000,8.0,1月10号下的单，1月15日到的货，同事和我同一天下的单同一个地点第二天就到了，我这个还是打了客服给我还弄个加急的五天才到，我这要不打客服不得十天半个月才到啊，速度也是呵呵了,2017-01-16 12:01:43,2017-06-10 17:37:48
28,136229332,0000000000,9.0,要下单的注意了，这款奶日期以过半，还库存紧张紧急补货中，就是个坑，我不同的奶买了五箱，你是帮我算好喝完刚好过期是吗？不厚道！,2017-01-12 17:20:27,2017-06-10 17:37:48
29,136229332,0000000000,10.0,发货速度太慢了，不愉快的一次购物，既然发放优惠券就要做好售后的安排，做不到就不要发券。,2016-12-15 20:46:08,2017-06-10 17:37:48
30,615194315,0000000000,1.0,比超市便宜,2017-06-10 14:31:00,2017-06-10 17:37:57
31,615194315,0000000000,2.0,好,2017-06-10 14:00:44,2017-06-10 17:37:57
32,615194315,0000000000,3.0,非常好喝，活动价，很划算,2017-06-10 11:15:58,2017-06-10 17:37:57
33,615194315,0000000000,4.0,好喝比超市便宜很多,2017-06-09 21:24:01,2017-06-10 17:37:57
34,615194315,0000000000,5.0,好喝。孩子喜欢。,2017-06-08 15:49:56,2017-06-10 17:37:57
35,615194315,0000000000,6.0,uuuuuuuuuiiiu高管局7iii7i教育i就几个额冯夫人天天渔港还好还好哈还有她也很好听应用化工听听歌虎6u会遇见很好听也要好好过,2017-06-07 09:15:28,2017-06-10 17:37:57
36,615194315,0000000000,7.0,做活动，很便宜,2017-06-05 18:26:23,2017-06-10 17:37:57
37,615194315,0000000000,8.0,苏宁做活动买东西最划算，不仅比超市便宜，而且还送到家，省力了,2017-06-05 13:06:23,2017-06-10 17:37:57
38,615194315,0000000000,9.0,好喝,2017-06-04 19:31:35,2017-06-10 17:37:57
39,615194315,0000000000,10.0,不错,2017-06-03 11:31:17,2017-06-10 17:37:57
40,126439055,0000000000,1.0,孩子喜欢这个口味。,2017-06-08 09:46:27,2017-06-10 17:38:06
41,126439055,0000000000,2.0,这个口味的牛奶孩子挺喜欢的。,2017-06-07 18:36:26,2017-06-10 17:38:06
42,126439055,0000000000,3.0,非常好！很好,2017-06-07 13:29:23,2017-06-10 17:38:06
43,126439055,0000000000,4.0,。。。好,2017-06-06 22:51:26,2017-06-10 17:38:06
44,126439055,0000000000,5.0,味道确实好 几天就喝完了,2017-06-01 19:48:46,2017-06-10 17:38:06
45,126439055,0000000000,6.0,帮朋友买的，还不错,2017-06-01 19:48:32,2017-06-10 17:38:06
46,126439055,0000000000,7.0,东西真心不错,2017-05-30 17:23:32,2017-06-10 17:38:06
47,126439055,0000000000,8.0,很好,2017-05-29 21:08:59,2017-06-10 17:38:06
48,126439055,0000000000,9.0,好,2017-05-28 16:50:39,2017-06-10 17:38:06
49,126439055,0000000000,10.0,感觉不错的。,2017-05-26 07:40:05,2017-06-10 17:38:06
50,126439055,0000000000,1.0,物流太慢,2017-04-09 19:31:58,2017-06-10 17:38:06
51,126439055,0000000000,2.0,牛奶还可以，就是是临期的呢，苏宁总是这样,2016-12-17 13:53:46,2017-06-10 17:38:06
52,126439055,0000000000,3.0,第二次买了，这次一共买了三箱头一次买也是六月份的生产日期，这次买还有一个六月份的生产日期，不是很开心，还有两月就到期了，不新鲜不知道能不能喝坏了，下月在买还是六月份的生产日期我就退货,2016-10-24 09:42:36,2017-06-10 17:38:06
