,itemid,shopid,goods_title,goods_price,goods_judge_num,bestJudgeNum,midJudgeNum,worstJudgeNum,goods_addr,goods_url,grab_time
0,174748689,0000000000,【苏宁易购超市】伊利 安慕希希腊风味酸奶 常温原味酸奶 205g*16盒 礼盒装 伊利酸奶【价格 图片 品牌 报价】-苏宁易购伊利官方旗舰店,66.00,9686.0,9479.0,104.0,103.0,1,http://product.suning.com/0000000000/174748689.html,2017-06-10 17:45:33
1,144016246,0000000000,【苏宁易购超市】伊利 安慕希希腊风味常温酸奶 原味酸奶 205g*12盒 礼盒装 伊利酸奶【价格 图片 品牌 报价】-苏宁易购伊利官方旗舰店,56.00,25859.0,25328.0,284.0,247.0,1,http://product.suning.com/0000000000/144016246.html,2017-06-10 17:45:42
2,621254803,0070134989,【牛奶小镇】伊利 安慕希 高端畅饮系列 希腊风味酸奶 230g×10瓶 跑男热推 现货发售 伊利(YILI)酸奶【价格 图片 品牌 报价】-苏宁易购伊利官方旗舰店,76.80,51.0,51.0,0.0,0.0,1,http://product.suning.com/0070134989/621254803.html,2017-06-10 17:45:52
3,174748691,0000000000,【苏宁易购超市】伊利 安慕希希腊风味常温酸奶 蓝莓味酸奶 205g*8盒 礼盒装 伊利酸奶【价格 图片 品牌 报价】-苏宁易购伊利官方旗舰店,34.80,3586.0,3526.0,34.0,26.0,1,http://product.suning.com/0000000000/174748691.html,2017-06-10 17:46:01
4,619182600,0070134989,【牛奶小镇】伊利 安慕希 黄桃燕麦 酸牛奶 200g×10盒 跑男热推 现货发售 伊利(YILI)酸奶【价格 图片 品牌 报价】-苏宁易购伊利官方旗舰店,128.00,133.0,128.0,2.0,3.0,1,http://product.suning.com/0070134989/619182600.html,2017-06-10 17:46:10
5,133398873,0000000000,【苏宁易购超市】伊利 安慕希希腊风味常温酸奶 蓝莓味 205g*12盒 礼盒装 伊利酸奶【价格 图片 品牌 报价】-苏宁易购伊利官方旗舰店,69.60,4187.0,4118.0,39.0,30.0,1,http://product.suning.com/0000000000/133398873.html,2017-06-10 17:46:19
6,174748690,0000000000,【苏宁易购超市】伊利 安慕希希腊风味常温酸奶 香草味酸奶 205g*8盒 礼盒装 伊利酸奶【价格 图片 品牌 报价】-苏宁易购伊利官方旗舰店,33.00,2912.0,2881.0,18.0,13.0,1,http://product.suning.com/0000000000/174748690.html,2017-06-10 17:46:28
7,611485591,0070134989,【下单立减10元】【牛奶小镇】伊利 安慕希 原味 希腊风味酸奶 205g*12盒 8月到期 伊利(YILI)酸奶【价格 图片 品牌 报价】-苏宁易购伊利官方旗舰店,56.80,851.0,819.0,13.0,19.0,1,http://product.suning.com/0070134989/611485591.html,2017-06-10 17:46:39
8,156212711,0000000000,【苏宁易购超市】伊利 安慕希希腊风味常温酸奶 香草味 205g*12盒 礼盒装 伊利酸奶【价格 图片 品牌 报价】-苏宁易购伊利官方旗舰店,66.00,1369.0,1356.0,7.0,6.0,1,http://product.suning.com/0000000000/156212711.html,2017-06-10 17:46:48
9,144016246,0070134989,【牛奶小镇】伊利 安慕希 原味 希腊风味酸奶 205g*12盒 5月生产 伊利酸奶【价格 图片 品牌 报价】-苏宁易购伊利官方旗舰店,56.80,1719.0,1674.0,25.0,20.0,1,http://product.suning.com/0070134989/144016246.html,2017-06-10 17:46:57
10,604326029,0070134989,【牛奶小镇】伊利 安慕希 蓝莓味 希腊风味酸奶 205g*12盒 5月生产 伊利(YILI)酸奶【价格 图片 品牌 报价】-苏宁易购伊利官方旗舰店,60.80,72.0,72.0,0.0,0.0,1,http://product.suning.com/0070134989/604326029.html,2017-06-10 17:47:06
11,142896946,0070078374,【伊利】安慕希希腊酸奶205g*12 * 2箱装 伊利酸奶【价格 图片 品牌 报价】-苏宁易购伊利官方旗舰店,132.00,327.0,316.0,7.0,4.0,1,http://product.suning.com/0070078374/142896946.html,2017-06-10 17:47:15
12,179364836,0070078374,伊利安慕希希腊风味酸奶 原味 205g*16盒/箱 伊利酸奶【价格 图片 品牌 报价】-苏宁易购伊利官方旗舰店,69.90,92.0,90.0,2.0,0.0,1,http://product.suning.com/0070078374/179364836.html,2017-06-10 17:47:25
13,120345518,0070078374,【中粮我买网】伊利安慕希希腊风味酸奶205g*12/箱（原味） 伊利酸奶【价格 图片 品牌 报价】-苏宁易购伊利官方旗舰店,66.00,8.0,7.0,1.0,0.0,1,http://product.suning.com/0070078374/120345518.html,2017-06-10 17:47:34
