,itemid,shopid,goods_title,goods_price,goods_judge_num,bestJudgeNum,midJudgeNum,worstJudgeNum,goods_addr,goods_url,grab_time
0,109828679,0000000000,【苏宁易购超市】伊利 无菌砖纯牛奶 250ml*16盒 礼盒装 伊利纯牛奶【价格 图片 品牌 报价】-苏宁易购伊利官方旗舰店,40.80,29544.0,28375.0,616.0,553.0,1,http://product.suning.com/0000000000/109828679.html,2017-06-10 17:22:14
1,165053371,0000000000,【苏宁易购超市】伊利 舒化无乳糖高钙纯牛奶 250ml*12盒 礼盒装 伊利纯牛奶【价格 图片 品牌 报价】-苏宁易购伊利官方旗舰店,36.96,1945.0,1928.0,10.0,7.0,1,http://product.suning.com/0000000000/165053371.html,2017-06-10 17:22:23
2,109829169,0000000000,【苏宁易购超市】伊利 无菌砖纯牛奶 250ml*24盒 箱装 伊利纯牛奶【价格 图片 品牌 报价】-苏宁易购伊利官方旗舰店,59.80,7232.0,6902.0,161.0,169.0,1,http://product.suning.com/0000000000/109829169.html,2017-06-10 17:22:32
3,109829379,0000000000,【苏宁易购超市】伊利 无菌砖纯牛奶 1L*6盒 礼盒装 伊利纯牛奶【价格 图片 品牌 报价】-苏宁易购伊利官方旗舰店,55.08,2180.0,2130.0,24.0,26.0,1,http://product.suning.com/0000000000/109829379.html,2017-06-10 17:22:42
4,174748692,0000000000,【苏宁易购超市】伊利 纯牛奶 250ml*16盒 礼盒装 伊利纯牛奶【价格 图片 品牌 报价】-苏宁易购伊利官方旗舰店,59.90,2575.0,2524.0,23.0,28.0,1,http://product.suning.com/0000000000/174748692.html,2017-06-10 17:22:51
5,109820550,0000000000,【苏宁易购超市】伊利 金典纯牛奶 250ml*12盒 礼盒装 伊利纯牛奶【价格 图片 品牌 报价】-苏宁易购伊利官方旗舰店,55.00,20922.0,19936.0,517.0,469.0,1,http://product.suning.com/0000000000/109820550.html,2017-06-10 17:23:00
6,109820526,0000000000,【苏宁易购超市】伊利 金典 有机纯牛奶 250ml*12盒 礼盒装 伊利纯牛奶【价格 图片 品牌 报价】-苏宁易购伊利官方旗舰店,53.20,4749.0,4592.0,85.0,72.0,1,http://product.suning.com/0000000000/109820526.html,2017-06-10 17:23:09
7,109820780,0000000000,【苏宁易购超市】伊利 舒化无乳糖低脂纯牛奶 250ml*12盒 礼盒装 伊利纯牛奶【价格 图片 品牌 报价】-苏宁易购伊利官方旗舰店,39.60,2768.0,2719.0,20.0,29.0,1,http://product.suning.com/0000000000/109820780.html,2017-06-10 17:23:18
8,109827025,0000000000,【苏宁易购超市】伊利儿童成长牛奶全聪儿童营养礼盒装20*125ml 伊利纯牛奶【价格 图片 品牌 报价】-苏宁易购伊利官方旗舰店,36.75,9619.0,9322.0,179.0,118.0,1,http://product.suning.com/0000000000/109827025.html,2017-06-10 17:23:28
9,109821559,0000000000,【苏宁易购超市】伊利QQ星儿童成长牛奶健固儿童营养礼盒装20*125ml 伊利纯牛奶【价格 图片 品牌 报价】-苏宁易购伊利官方旗舰店,36.75,4850.0,4762.0,54.0,34.0,1,http://product.suning.com/0000000000/109821559.html,2017-06-10 17:23:37
10,109827649,0000000000,【苏宁易购超市】伊利QQ星儿童成长牛奶健固儿童营养礼盒装15*190ml 伊利纯牛奶【价格 图片 品牌 报价】-苏宁易购伊利官方旗舰店,39.75,1580.0,1530.0,30.0,20.0,1,http://product.suning.com/0000000000/109827649.html,2017-06-10 17:23:46
11,109820555,0000000000,【苏宁易购超市】伊利 金典 低脂纯牛奶 250ml*12盒 礼盒装 伊利纯牛奶【价格 图片 品牌 报价】-苏宁易购伊利官方旗舰店,51.00,2381.0,2312.0,36.0,33.0,1,http://product.suning.com/0000000000/109820555.html,2017-06-10 17:23:56
12,109828106,0000000000,【苏宁易购超市】伊利QQ星儿童成长牛奶均善儿童营养礼盒装15*190ml 伊利纯牛奶【价格 图片 品牌 报价】-苏宁易购伊利官方旗舰店,44.85,1419.0,1348.0,40.0,31.0,1,http://product.suning.com/0000000000/109828106.html,2017-06-10 17:24:05
13,125578362,0000000000,【苏宁易购超市】伊利 舒化无乳糖中老年系列优钙配方纯牛奶 250ml*12盒 礼盒装 伊利纯牛奶【价格 图片 品牌 报价】-苏宁易购伊利官方旗舰店,56.10,1897.0,1812.0,39.0,46.0,1,http://product.suning.com/0000000000/125578362.html,2017-06-10 17:24:14
14,187721261,0000000000,【苏宁易购超市】伊利 Byebye君 脱脂纯牛奶 250ml*16盒 礼盒装 伊利纯牛奶【价格 图片 品牌 报价】-苏宁易购伊利官方旗舰店,39.90,163.0,157.0,5.0,1.0,1,http://product.suning.com/0000000000/187721261.html,2017-06-10 17:24:23
15,125578127,0000000000,【苏宁易购超市】伊利 舒化无乳糖中老年系列心活配方纯牛奶 250ml*12盒 礼盒装 伊利纯牛奶【价格 图片 品牌 报价】-苏宁易购伊利官方旗舰店,56.10,1667.0,1598.0,41.0,28.0,1,http://product.suning.com/0000000000/125578127.html,2017-06-10 17:24:33
16,122677816,0070078374,【伊利】金典奶250ml*12（箱） 伊利纯牛奶【价格 图片 品牌 报价】-苏宁易购伊利官方旗舰店,65.00,64.0,62.0,0.0,2.0,1,http://product.suning.com/0070078374/122677816.html,2017-06-10 17:24:42
17,122678208,0070078374,【伊利】金典有机牛奶250ml*12(箱) 伊利纯牛奶【价格 图片 品牌 报价】-苏宁易购伊利官方旗舰店,68.90,70.0,69.0,1.0,0.0,1,http://product.suning.com/0070078374/122678208.html,2017-06-10 17:24:52
18,185099559,0070078374,【中粮我买网】伊利谷粒多燕麦牛奶200ml*12/箱*2 伊利纯牛奶【价格 图片 品牌 报价】-苏宁易购伊利官方旗舰店,118.00,156.0,155.0,0.0,1.0,1,http://product.suning.com/0070078374/185099559.html,2017-06-10 17:25:01
19,151820165,0070078374,【中粮我买网】伊利谷粒多燕麦牛奶200ml*12/箱 伊利纯牛奶【价格 图片 品牌 报价】-苏宁易购伊利官方旗舰店,46.00,408.0,408.0,0.0,0.0,1,http://product.suning.com/0070078374/151820165.html,2017-06-10 17:25:10
20,613814263,0070078374,中粮我买网 伊利纯牛奶250ml*24/箱 伊利(YILI)纯牛奶【价格 图片 品牌 报价】-苏宁易购伊利官方旗舰店,64.80,1.0,1.0,0.0,0.0,1,http://product.suning.com/0070078374/613814263.html,2017-06-10 17:25:19
21,109820550,0070134989,【牛奶小镇】伊利 金典纯牛奶 250ml*12盒 4月生产 伊利纯牛奶【价格 图片 品牌 报价】-苏宁易购伊利官方旗舰店,59.80,756.0,731.0,15.0,10.0,1,http://product.suning.com/0070134989/109820550.html,2017-06-10 17:25:28
22,627365298,0070134989,【牛奶小镇】伊利 舒化奶 无乳糖牛奶 高钙型 250ml×12盒 4月生产 伊利(YILI)纯牛奶【价格 图片 品牌 报价】-苏宁易购伊利官方旗舰店,50.80,9.0,9.0,0.0,0.0,1,http://product.suning.com/0070134989/627365298.html,2017-06-10 17:25:38
