,itemid,shopid,goods_title,goods_price,goods_judge_num,bestJudgeNum,midJudgeNum,worstJudgeNum,goods_addr,goods_url,grab_time
0,126439269,0000000000,【苏宁易购超市】伊利 谷粒多燕麦牛奶 早餐奶 200ml*12盒 礼盒装 伊利风味奶?【价格 图片 品牌 报价】-苏宁易购伊利官方旗舰店,31.20,19183.0,18927.0,160.0,96.0,1,http://product.suning.com/0000000000/126439269.html,2017-06-10 17:33:12
1,109830325,0000000000,【苏宁易购超市】伊利 谷粒多黑谷粗粮早餐奶 谷物风味牛奶 250ml*12盒 礼盒装 伊利风味奶?【价格 图片 品牌 报价】-苏宁易购伊利官方旗舰店,23.40,31339.0,30841.0,299.0,199.0,1,http://product.suning.com/0000000000/109830325.html,2017-06-10 17:33:21
2,613814261,0070078374,【中粮我买网】伊利谷粒多黑谷苗条礼盒250ml*12/箱 伊利(YILI)风味奶?【价格 图片 品牌 报价】-苏宁易购伊利官方旗舰店,34.90,8.0,8.0,0.0,0.0,1,http://product.suning.com/0070078374/613814261.html,2017-06-10 17:33:30
3,945006189,0000000000,买谷粒多红谷送单提礼袋 纯牛奶【价格 图片 品牌 报价】-苏宁易购苏宁自营,,0.0,0.0,0.0,0.0,1,http://product.suning.com/0000000000/945006189.html,2017-06-10 17:33:39
4,945006187,0000000000,买谷粒多燕麦送单提礼袋 纯牛奶【价格 图片 品牌 报价】-苏宁易购苏宁自营,,0.0,0.0,0.0,0.0,1,http://product.suning.com/0000000000/945006187.html,2017-06-10 17:33:48
5,945006188,0000000000,买谷粒多黑谷送单提礼袋 纯牛奶【价格 图片 品牌 报价】-苏宁易购苏宁自营,,0.0,0.0,0.0,0.0,1,http://product.suning.com/0000000000/945006188.html,2017-06-10 17:33:57
6,109830111,0000000000,【苏宁易购超市】伊利 谷粒多红谷粗粮早餐奶 谷物风味牛奶 250ml*12盒 礼盒装 伊利风味奶?【价格 图片 品牌 报价】-苏宁易购伊利官方旗舰店,18.00,34957.0,34489.0,262.0,206.0,1,http://product.suning.com/0000000000/109830111.html,2017-06-10 17:34:07
7,602974691,0000000000,【苏宁易购超市】伊利 谷粒多核桃燕麦牛奶 200ml*12盒 礼盒装 伊利风味奶?【价格 图片 品牌 报价】-苏宁易购伊利官方旗舰店,32.50,264.0,263.0,1.0,0.0,1,http://product.suning.com/0000000000/602974691.html,2017-06-10 17:34:16
8,945006698,0000000000,伊利谷粒多黑谷1提+谷粒多燕麦1提（买就送出游收纳六件套） 纯牛奶【价格 图片 品牌 报价】-苏宁易购苏宁自营,,0.0,0.0,0.0,0.0,1,http://product.suning.com/0000000000/945006698.html,2017-06-10 17:34:25
9,945006697,0000000000,伊利谷粒多红谷1提+味可滋哈密瓜1提（买就送出游收纳六件套） 纯牛奶【价格 图片 品牌 报价】-苏宁易购苏宁自营,,0.0,0.0,0.0,0.0,1,http://product.suning.com/0000000000/945006697.html,2017-06-10 17:34:34
