,itemid,shopid,shopTitle,shop_url,shop_describe,shop_serve,shop_shiping,grab_time
0,126439269,0000000000, 伊利官方旗舰店 ,http://shop.suning.com/0/index.html,,,,2017-06-10 17:33:12
1,109830325,0000000000, 伊利官方旗舰店 ,http://shop.suning.com/0/index.html,,,,2017-06-10 17:33:21
2,613814261,0070078374,中粮我买网官方旗舰店,http://shop.suning.com/70078374/index.html,4.9,4.91,4.89,2017-06-10 17:33:30
3,945006189,0000000000,中粮我买网官方旗舰店,http://shop.suning.com/0/index.html,4.9,4.91,4.89,2017-06-10 17:33:39
4,945006187,0000000000,中粮我买网官方旗舰店,http://shop.suning.com/0/index.html,4.9,4.91,4.89,2017-06-10 17:33:48
5,945006188,0000000000,中粮我买网官方旗舰店,http://shop.suning.com/0/index.html,4.9,4.91,4.89,2017-06-10 17:33:57
6,109830111,0000000000, 伊利官方旗舰店 ,http://shop.suning.com/0/index.html,4.9,4.91,4.89,2017-06-10 17:34:07
7,602974691,0000000000, 伊利官方旗舰店 ,http://shop.suning.com/0/index.html,4.9,4.91,4.89,2017-06-10 17:34:16
8,945006698,0000000000, 伊利官方旗舰店 ,http://shop.suning.com/0/index.html,4.9,4.91,4.89,2017-06-10 17:34:25
9,945006697,0000000000, 伊利官方旗舰店 ,http://shop.suning.com/0/index.html,4.9,4.91,4.89,2017-06-10 17:34:34
