,itemid,shopid,id,rateContent,rateDate,grab_time
0,153368847,0000000000,1,牛奶甜甜的，很好喝，物流很快，快递很辛苦呢。,2017-08-09 15:35:37,2017-08-09 18:42:38
1,153368847,0000000000,2,有点太甜了不过女儿喜欢喝,2017-08-09 13:26:11,2017-08-09 18:42:38
2,153368847,0000000000,3,这次的物流慢的有点离普，一号买的六点才发货还是催的,2017-08-09 10:44:52,2017-08-09 18:42:38
3,153368847,0000000000,4,你家的忠实顾客。当天下单，当天早上11点钟之前下单，下午就到了，速度真的是非常的快。吃得放心，买得舒心。尝试了新品种，感觉有点像那个旺仔，牛奶的味道有点甜。,2017-08-09 10:22:08,2017-08-09 18:42:38
4,153368847,0000000000,5,不错,2017-08-09 09:57:25,2017-08-09 18:42:38
5,153368847,0000000000,6,很不错，下次还来,2017-08-09 09:43:16,2017-08-09 18:42:38
6,153368847,0000000000,7,非常不错,2017-08-09 08:56:29,2017-08-09 18:42:38
7,153368847,0000000000,8,很好喝,2017-08-09 08:29:53,2017-08-09 18:42:38
8,153368847,0000000000,9,特意,2017-08-09 08:20:30,2017-08-09 18:42:38
9,153368847,0000000000,10,好,2017-08-08 22:59:40,2017-08-09 18:42:38
10,153368847,0000000000,1,第一次买这个牛奶，价格还是有点贵的，不过用券之后比较划算。对我来说，喝起来太甜了一点，不过小朋友可能比较喜欢喝，味道和旺仔牛奶很相似。总体对我来说，一般般吧。,2017-08-02 08:38:39,2017-08-09 18:42:38
11,153368847,0000000000,2,看某东是买一赠一，苏宁这款产品下面的评价也显示买一赠一，产品页面没有标注此活动，抱着试试看的态度付款50元，收到好小一箱，口味还可以，如果按照买一赠一的活动来说我买亏了，宝宝不开心宝宝有小情绪了，求补发一箱甜小嗨（男版）来抚慰我这颗受伤的心灵,2016-10-24 02:10:15,2017-08-09 18:42:38
12,153368847,0000000000,3,还行,2016-10-20 22:41:31,2017-08-09 18:42:38
13,153368847,0000000000,4,当天上午下单当天下午收货，苏宁速度是没有说的，但是牛奶日期是5月16日，马上四个月了，让人严重不爽。,2016-10-04 16:01:40,2017-08-09 18:42:38
