,itemid,shopid,id,rateContent,rateDate,grab_time
0,142743311,0000000000,1.0,蛮划算的 算了半天买什么可以减多少 活动划算 有需要会再来滴 ,2017-06-10 16:27:01,2017-06-10 18:06:09
1,142743311,0000000000,2.0,不错,2017-06-10 16:20:24,2017-06-10 18:06:09
2,142743311,0000000000,3.0,好喝,2017-06-10 16:02:07,2017-06-10 18:06:09
3,142743311,0000000000,4.0,便宜又好喝,2017-06-10 15:40:40,2017-06-10 18:06:09
4,142743311,0000000000,5.0,物美价廉，值得购买！,2017-06-10 15:19:24,2017-06-10 18:06:09
5,142743311,0000000000,6.0,不困，好吃，好喝,2017-06-10 15:02:53,2017-06-10 18:06:09
6,142743311,0000000000,7.0,还行,2017-06-10 14:58:55,2017-06-10 18:06:09
7,142743311,0000000000,8.0,牛奶很好喝，有四种味道，价格也便宜。,2017-06-10 14:25:31,2017-06-10 18:06:09
8,142743311,0000000000,9.0,宝贝送货快,2017-06-10 13:29:42,2017-06-10 18:06:09
9,142743311,0000000000,10.0,泰迪狗开裆裤够用的看过的哟够大哟多运动都有点哟掉一地运动运动哟有地方哟都要第一个i天地通的给自己关心过i多一点一i电梯月底i有点低一定要过的,2017-06-10 13:24:39,2017-06-10 18:06:09
10,142743311,0000000000,1.0,2016年11月6日生产的，其实也不值买一送一这个价，但赶紧喝吧，懒人不想折腾，,2017-04-26 07:46:55,2017-06-10 18:06:09
11,142743311,0000000000,2.0,活动购买，价格实惠，但口感不是我想要的，。。,2017-03-22 23:26:46,2017-06-10 18:06:09
12,142743311,0000000000,3.0,买了就降价，是老包装，生产日期还是去年的。怀疑是不是卖的要过期了的,2017-03-14 23:05:57,2017-06-10 18:06:09
13,142743311,0000000000,4.0,日期是16年11月初的，虽然没过保质期，但还是太久了，半年的有效期而已，其它的没问题，不推荐,2017-02-27 12:42:48,2017-06-10 18:06:09
14,142743311,0000000000,5.0,10月分的，从广州到揭阳竟然要5天,2017-02-19 10:44:16,2017-06-10 18:06:09
15,142743311,0000000000,6.0,还行，不过日期不新鲜了！,2017-01-19 00:27:21,2017-06-10 18:06:09
16,142743311,0000000000,7.0,直接就给拎来了，外边没有包装！味道感觉和超市买的不太一样，不像正品,2017-01-16 17:28:04,2017-06-10 18:06:09
17,142743311,0000000000,8.0,味道还行，日期不怎么理想快过半了,2017-01-12 16:57:55,2017-06-10 18:06:09
18,142743311,0000000000,9.0,还行,2017-01-11 17:05:20,2017-06-10 18:06:09
19,142743311,0000000000,10.0,真心一般连包装都不一样250g和250ml不一样吧应该，关键里面果粒和味道不怎么好，电商还是别做了扰乱人家的价格店里贵点喝着放心,2017-01-07 11:44:54,2017-06-10 18:06:09
20,142743311,0000000000,1.0,差,2017-06-01 22:31:22,2017-06-10 18:06:09
21,142743311,0000000000,2.0,差评，不给开发票，,2017-04-07 23:34:03,2017-06-10 18:06:09
22,142743311,0000000000,3.0,还有一个月就过期了，不爽，不会再来买牛奶,2017-03-19 18:20:44,2017-06-10 18:06:09
23,142743311,0000000000,4.0,差差差！苏宁你快倒闭吧！发货一般，商品都是快过期的！服务没见过比你们还差的！超级失望！,2017-03-19 13:49:51,2017-06-10 18:06:09
24,142743311,0000000000,5.0,东西也不知道包装一下，就那样送过来了，日期也不新鲜，都是11月份的，有好几个两边的小耳朵都开了，也不知道半路有没有被别人打开过！,2017-01-15 16:15:44,2017-06-10 18:06:09
25,142743311,0000000000,6.0,假果粒，里面是果冻粒，差劲差劲，失败,2017-01-15 14:33:17,2017-06-10 18:06:09
26,142743311,0000000000,7.0,这次购物非常不满！好几天也没收到货，订单里却显示收货完成，让我评价！打客服才知道我的货送到别处了！不知道那个部门的人，居然在电话里说我买的东西太多了，所以他们送错有情可原，真是笑话！自己出错了，居然埋怨客户一下买的东西太多了！在苏宁买了那么多东西居然落了埋怨！,2017-01-11 22:05:38,2017-06-10 18:06:09
27,142743311,0000000000,8.0,"东西没所谓,苏宁易购的东西快递居然是如风达,根本不是苏宁快递,而且我3楼根本不帮忙弄上去,两箱水和饮料,一个人确实不好弄,***苏宁!以后再也不买了,明明标注苏宁自营,居然敢给第三方快递发货,我还是在城区,要是乡镇估计不知道什么样子了!",2017-01-03 19:18:00,2017-06-10 18:06:09
28,142743311,0000000000,9.0,我买这些东西 我的个人信息为什么会被泄漏！！！打电话说他们是苏宁易购的，我的名字 电话 地址，包括我买的什么东西他们都知道，说给我准备个三十块钱的什么套件！！你们的客户信息就是这么随意泄露的吗！！能给我个解释吗？？,2016-12-30 14:23:05,2017-06-10 18:06:09
29,142743311,0000000000,10.0,很差 东西快过期了 服务态度更差 买贵了不退差价,2016-12-30 10:40:01,2017-06-10 18:06:09
30,103995029,0000000000,1.0,好喝不贵，孩子很喜欢喝，快递员贴心,2017-06-09 13:02:42,2017-06-10 18:06:20
31,103995029,0000000000,2.0,不错,2017-06-08 13:51:53,2017-06-10 18:06:20
32,103995029,0000000000,3.0,很好,2017-06-08 09:50:35,2017-06-10 18:06:20
33,103995029,0000000000,4.0,一直的选择 果粒加牛奶,2017-06-08 08:42:42,2017-06-10 18:06:20
34,103995029,0000000000,5.0,可以，就是物流慢了,2017-06-08 08:07:20,2017-06-10 18:06:20
35,103995029,0000000000,6.0,物流慢的要死、,2017-06-07 22:36:19,2017-06-10 18:06:20
36,103995029,0000000000,7.0,太喜欢了，还会再来的,2017-06-07 12:01:26,2017-06-10 18:06:20
37,103995029,0000000000,8.0,好喝,2017-06-06 20:26:43,2017-06-10 18:06:20
38,103995029,0000000000,9.0,很好,2017-06-06 19:48:32,2017-06-10 18:06:20
39,103995029,0000000000,10.0,非常好喝。,2017-06-06 17:12:55,2017-06-10 18:06:20
40,103995029,0000000000,1.0,这个还没喝性价比不高后来看到有24瓶一箱的才54元这12瓶的都要36块了,2017-05-12 15:01:09,2017-06-10 18:06:20
41,103995029,0000000000,2.0,不错,2017-05-12 06:56:11,2017-06-10 18:06:20
42,103995029,0000000000,3.0,牛奶发错了,2017-04-21 10:54:28,2017-06-10 18:06:20
43,103995029,0000000000,4.0,临期,2017-03-03 10:49:12,2017-06-10 18:06:20
44,103995029,0000000000,5.0,说实话，拿临期的出来做秒杀，有点不靠谱，最起码先给个提示呀！到手发现保质期只有个把月，本来送人的都不好意思拿出去，自己喝掉的，我可是买了五箱，还好人多,2017-02-28 14:08:10,2017-06-10 18:06:20
45,103995029,0000000000,6.0,还有一个多月就过期了，不是新日期，不满意,2017-01-20 17:15:00,2017-06-10 18:06:20
46,103995029,0000000000,7.0,日期是八月的保质期半年就时间有些不合适，之前买都是近期的～,2017-01-04 14:47:58,2017-06-10 18:06:20
47,103995029,0000000000,8.0,日期太旧了，味道还可以,2016-12-29 21:26:52,2017-06-10 18:06:20
48,103995029,0000000000,9.0,不是很满意,2016-11-06 22:20:51,2017-06-10 18:06:20
49,103995029,0000000000,10.0,物流非常快，但是保质期不怎样，现在十一月，六月生产，半年保质期，下个月就过期,2016-11-04 12:31:55,2017-06-10 18:06:20
50,103995029,0000000000,1.0,以前我从上海寄到我这里都是第二天到达，这次要变到第三天到达，所以这个物流太慢了。,2017-03-18 09:10:11,2017-06-10 18:06:20
51,103995029,0000000000,2.0,比外面还贵，要不是我有代金券的话，我都不会买,2017-01-19 19:14:13,2017-06-10 18:06:20
52,103995029,0000000000,3.0,日期很不好，失望，8月份的，还有一个多月就过期了，某东这个日期的草莓味都在买一送一,2016-12-28 22:24:31,2017-06-10 18:06:20
53,103995029,0000000000,4.0,苏宁现在是临期专业户了，每次买的牛奶些和吃的都是临期的,2016-12-28 18:09:20,2017-06-10 18:06:20
54,103995029,0000000000,5.0,日期太老了，8月份的,2016-12-28 15:20:48,2017-06-10 18:06:20
