,itemid,impressions,grab_time
0,142743311,价格便宜:1163-口感很好:1129-性价比高 :1087-发货很快:1075-日期新鲜:970-服务很好:961-味道香而浓郁:861-新鲜:837-好:1,2017-06-10 18:06:09
1,103995029,价格便宜:609-口感很好:556-发货很快:505-性价比高 :485-服务很好:444-味道香而浓郁:433-日期新鲜:433-新鲜:203-正品:100,2017-06-10 18:06:20
2,104618702,口感很好:541-发货很快:528-价格便宜:515-性价比高 :462-日期新鲜:441-服务很好:435-味道香而浓郁:422-新鲜:220-送货快:59,2017-06-10 18:06:31
3,182883668,口感很好:18-日期新鲜:18-价格便宜:16-性价比高 :16-发货很快:14-新鲜:12-味道香而浓郁:11-服务很好:11,2017-06-10 18:06:42
4,132450184,服务很好:2-价格便宜:2-发货很快:2-日期新鲜:2-性价比高 :2-口感很好:1-味道香而浓郁:1-新鲜:1,2017-06-10 18:06:54
5,159324169,,2017-06-10 18:07:05
6,159330515,,2017-06-10 18:07:16
7,159323936,,2017-06-10 18:07:27
8,611081528,,2017-06-10 18:07:38
9,628164053,,2017-06-10 18:07:49
10,611076104,,2017-06-10 18:08:00
11,628157601,,2017-06-10 18:08:12
12,628162176,,2017-06-10 18:08:23
13,628159571,,2017-06-10 18:08:34
14,628160202,,2017-06-10 18:08:45
15,628163438,,2017-06-10 18:08:56
16,611080615,,2017-06-10 18:09:07
17,611076856,,2017-06-10 18:09:18
18,611077361,,2017-06-10 18:09:30
19,611075567,,2017-06-10 18:09:41
