,itemid,shopid,goods_title,goods_price,goods_judge_num,bestJudgeNum,midJudgeNum,worstJudgeNum,goods_addr,goods_url,grab_time
0,131257768,0000000000,【苏宁超市】雪花啤酒 冰酷拉罐330ml*24罐/箱 雪花啤酒【价格 图片 品牌 报价】-苏宁易购雪花官方旗舰店,47.90,34968,34670,108,190,1,http://product.suning.com/0000000000/131257768.html,2017-08-07 21:04:47
1,131256262,0000000000,【苏宁超市】雪花啤酒 冰酷拉罐六连包(脸谱)330ml*6罐 雪花啤酒【价格 图片 品牌 报价】-苏宁易购雪花官方旗舰店,11.80,17269,17043,113,113,1,http://product.suning.com/0000000000/131256262.html,2017-08-07 21:04:59
2,107063899,0000000000,【苏宁超市】雪花啤酒 勇闯天涯500ml*12听整箱装 雪花啤酒啤酒【价格 图片 品牌 报价】-苏宁易购雪花官方旗舰店,54.00,2724,2712,4,8,1,http://product.suning.com/0000000000/107063899.html,2017-08-07 21:05:10
3,131257568,0000000000,【苏宁超市】雪花啤酒 清爽拉罐 330ml*24罐/箱 雪花啤酒【价格 图片 品牌 报价】-苏宁易购雪花官方旗舰店,49.90,4046,4021,18,7,1,http://product.suning.com/0000000000/131257568.html,2017-08-07 21:05:22
4,131255503,0000000000,【苏宁超市】雪花啤酒 清爽拉罐六连包330ml*6罐 雪花啤酒【价格 图片 品牌 报价】-苏宁易购雪花官方旗舰店,12.50,6501,6412,31,58,1,http://product.suning.com/0000000000/131255503.html,2017-08-07 21:05:34
5,131255456,0000000000,【苏宁超市】雪花啤酒 清爽拉罐500ml*12罐/箱 雪花啤酒【价格 图片 品牌 报价】-苏宁易购雪花官方旗舰店,40.50,903,902,1,0,1,http://product.suning.com/0000000000/131255456.html,2017-08-07 21:05:45
6,131255619,0000000000,【苏宁超市】雪花啤酒 勇闯天涯拉罐330ml*24罐/箱 雪花啤酒【价格 图片 品牌 报价】-苏宁易购雪花官方旗舰店,86.40,817,805,3,9,1,http://product.suning.com/0000000000/131255619.html,2017-08-07 21:05:57
7,131255076,0000000000,【苏宁超市】雪花啤酒 纯生拉罐500ml*12罐/箱 雪花啤酒【价格 图片 品牌 报价】-苏宁易购雪花官方旗舰店,86.40,720,708,4,8,1,http://product.suning.com/0000000000/131255076.html,2017-08-07 21:06:09
8,131255926,0000000000,【苏宁超市】雪花啤酒 勇闯天涯易拉罐六连包330ml*6听 雪花啤酒【价格 图片 品牌 报价】-苏宁易购雪花官方旗舰店,23.90,2079,2022,38,19,1,http://product.suning.com/0000000000/131255926.html,2017-08-07 21:06:20
9,601758867,0000000000,【苏宁超市】雪花啤酒 黑啤500ml*12听整箱装 雪花(SNOW)啤酒【价格 图片 品牌 报价】-苏宁易购雪花官方旗舰店,144.00,1,1,0,0,1,http://product.suning.com/0000000000/601758867.html,2017-08-07 21:06:32
10,601449891,0000000000,【苏宁超市】雪花啤酒 脸谱500ml*12 听整箱装 雪花(SNOW)啤酒【价格 图片 品牌 报价】-苏宁易购雪花官方旗舰店,300.00,0,0,0,0,1,http://product.suning.com/0000000000/601449891.html,2017-08-07 21:06:44
11,945015037,0000000000,雪花啤酒 500ml*12听 2箱 组合套餐 勇闯+清爽 啤酒【价格 图片 品牌 报价】-苏宁易购苏宁自营,89.00,0,0,0,0,1,http://product.suning.com/0000000000/945015037.html,2017-08-07 21:06:57
12,945016821,0000000000,购52度金剑南K6单瓶得雪花啤酒六连包 白酒【价格 图片 品牌 报价】-苏宁易购苏宁自营,129.00,0,0,0,0,1,http://product.suning.com/0000000000/945016821.html,2017-08-07 21:07:08
13,131257888,0000000000,【苏宁超市】雪花啤酒 纯生拉罐六连包330ml*6/组 雪花啤酒【价格 图片 品牌 报价】-苏宁易购雪花官方旗舰店,39.00,1136,1120,9,7,1,http://product.suning.com/0000000000/131257888.html,2017-08-07 21:07:20
14,131246064,0000000000,【苏宁超市】雪花啤酒 纯生匠心营造8度330ml*24罐/箱 雪花啤酒【价格 图片 品牌 报价】-苏宁易购雪花官方旗舰店,129.00,1251,1226,9,16,1,http://product.suning.com/0000000000/131246064.html,2017-08-07 21:07:32
